job_id,date,technician_id,job_type,task_category,shift_type,estimated_hours,actual_hours,overrun_factor,staffing_ratio,lateness_minutes,day_of_week
J00100,2025-02-07,T016,avionics fault isolation,non-routine,grey,2.97,3.43,1.1526,0.998,9.1,Friday
J00101,2025-02-07,T007,cabin interior repair,non-routine,green,2.44,2.95,1.2084,0.848,0.6,Friday
J00102,2025-02-10,T009,engine borescope,scheduled,pink,3.99,2.39,0.599,0.801,2.1,Monday
J00103,2025-02-10,T016,A-check inspection,scheduled,grey,5.94,4.27,0.719,1.034,4.8,Monday
J00104,2025-02-10,T003,cabin interior repair,non-routine,green,2.63,3.16,1.2004,0.783,0.0,Monday
J00105,2025-02-10,T024,landing gear service,scheduled,pink,5.0,4.75,0.9498,0.984,0.8,Monday
J00106,2025-02-11,T004,engine borescope,scheduled,green,3.99,6.16,1.5439,0.72,0.0,Tuesday
J00107,2025-02-11,T012,avionics fault isolation,non-routine,pink,2.83,3.15,1.112,0.766,8.2,Tuesday
J00108,2025-02-11,T021,hydraulic system check,scheduled,pink,3.47,4.02,1.1606,0.933,6.8,Tuesday
J00109,2025-02-11,T015,A-check inspection,scheduled,pink,5.33,4.5,0.845,1.02,11.9,Tuesday
J00110,2025-02-11,T015,cabin interior repair,non-routine,grey,2.51,2.89,1.1496,1.012,15.0,Tuesday
J00111,2025-02-11,T017,structural inspection,non-routine,grey,7.0,11.15,1.5915,0.864,0.9,Tuesday
J00112,2025-02-12,T018,hydraulic system check,scheduled,green,3.63,2.12,0.5841,0.976,4.7,Wednesday
J00113,2025-02-12,T015,A-check inspection,scheduled,yellow,5.62,7.77,1.3838,1.102,11.6,Wednesday
J00114,2025-02-12,T001,A-check inspection,scheduled,grey,6.41,4.92,0.7675,0.901,7.0,Wednesday
J00115,2025-02-12,T020,engine borescope,scheduled,grey,4.21,6.21,1.4762,0.894,5.6,Wednesday
J00116,2025-02-12,T010,hydraulic system check,scheduled,yellow,3.5,3.02,0.8633,0.93,3.2,Wednesday
J00117,2025-02-12,T015,hydraulic system check,scheduled,pink,3.37,3.88,1.1528,0.75,8.6,Wednesday
J00118,2025-02-13,T007,engine borescope,scheduled,pink,4.73,3.78,0.8001,0.905,1.8,Thursday
J00119,2025-02-13,T019,landing gear service,scheduled,grey,5.32,4.5,0.8451,1.032,5.3,Thursday
J00120,2025-02-14,T020,A-check inspection,scheduled,grey,6.08,6.47,1.0645,0.84,2.9,Friday
J00121,2025-02-14,T007,landing gear service,scheduled,pink,5.07,7.06,1.3933,0.763,3.6,Friday
J00122,2025-02-17,T004,A-check inspection,scheduled,yellow,5.2,4.54,0.8735,0.948,10.8,Monday
J00123,2025-02-17,T002,wheel and brake change,scheduled,yellow,1.91,2.53,1.3224,0.861,10.1,Monday
J00124,2025-02-17,T001,landing gear service,scheduled,pink,5.48,5.56,1.0162,0.904,14.8,Monday
J00125,2025-02-17,T013,landing gear service,scheduled,yellow,5.79,7.23,1.2475,1.002,0.0,Monday
J00126,2025-02-17,T014,hydraulic system check,scheduled,grey,3.41,4.16,1.2172,1.009,6.2,Monday
J00127,2025-02-17,T005,engine borescope,scheduled,green,4.6,2.93,0.6375,0.668,6.3,Monday
J00128,2025-02-17,T010,engine borescope,scheduled,pink,4.49,4.72,1.0515,0.91,2.5,Monday
J00129,2025-02-18,T025,A-check inspection,scheduled,pink,6.22,3.72,0.599,0.908,0.0,Tuesday
J00130,2025-02-18,T012,engine borescope,scheduled,green,4.45,5.13,1.1537,0.888,2.9,Tuesday
J00131,2025-02-18,T018,wheel and brake change,scheduled,yellow,1.88,2.1,1.1172,0.769,4.4,Tuesday
J00132,2025-02-19,T005,A-check inspection,scheduled,green,5.91,3.87,0.6545,1.026,0.0,Wednesday
J00133,2025-02-19,T006,avionics fault isolation,non-routine,grey,3.06,3.71,1.2131,0.912,5.3,Wednesday
J00134,2025-02-19,T014,hydraulic system check,scheduled,grey,3.86,4.35,1.1279,0.873,0.0,Wednesday
J00135,2025-02-19,T006,structural inspection,non-routine,yellow,7.14,7.59,1.0629,0.967,0.0,Wednesday
J00136,2025-02-19,T002,engine borescope,scheduled,grey,4.82,2.73,0.5662,0.964,12.8,Wednesday
J00137,2025-02-20,T017,hydraulic system check,scheduled,grey,3.51,4.75,1.3507,0.901,8.2,Thursday
J00138,2025-02-20,T009,structural inspection,non-routine,grey,7.11,6.96,0.9789,0.971,0.2,Thursday
J00139,2025-02-20,T010,A-check inspection,scheduled,green,6.06,7.13,1.1755,1.006,5.5,Thursday
J00140,2025-02-20,T017,wheel and brake change,scheduled,green,1.96,2.23,1.1371,0.94,0.0,Thursday
J00141,2025-02-20,T010,cabin interior repair,non-routine,green,2.56,1.97,0.7718,0.957,0.0,Thursday
J00142,2025-02-20,T022,wheel and brake change,scheduled,green,1.95,1.97,1.0081,1.169,3.0,Thursday
J00143,2025-02-21,T007,wheel and brake change,scheduled,green,1.93,1.75,0.9095,1.011,3.2,Friday
J00144,2025-02-21,T014,structural inspection,non-routine,yellow,7.08,6.44,0.9104,0.974,0.0,Friday
J00145,2025-02-21,T008,landing gear service,scheduled,green,4.65,3.1,0.667,0.953,5.3,Friday
J00146,2025-02-21,T003,hydraulic system check,scheduled,pink,3.63,2.83,0.7795,0.945,9.2,Friday
J00147,2025-02-24,T021,hydraulic system check,scheduled,pink,3.52,3.3,0.9366,0.916,10.1,Monday
J00148,2025-02-24,T021,landing gear service,scheduled,green,4.9,5.01,1.0226,0.976,3.0,Monday
J00149,2025-02-24,T009,cabin interior repair,non-routine,pink,2.59,3.56,1.3707,0.945,0.0,Monday
J00150,2025-02-24,T001,engine borescope,scheduled,grey,4.13,4.33,1.0492,0.775,0.9,Monday
J00151,2025-02-24,T005,avionics fault isolation,non-routine,grey,3.09,2.68,0.8659,0.941,7.6,Monday
J00152,2025-02-24,T015,wheel and brake change,scheduled,yellow,1.79,1.91,1.0661,0.856,0.0,Monday
J00153,2025-02-24,T022,cabin interior repair,non-routine,pink,2.65,2.63,0.9948,0.924,3.5,Monday
J00154,2025-02-24,T012,hydraulic system check,scheduled,green,3.5,4.59,1.3107,1.018,0.2,Monday
J00155,2025-02-24,T019,structural inspection,non-routine,green,7.34,6.49,0.8844,0.984,3.5,Monday
J00156,2025-02-25,T012,hydraulic system check,scheduled,yellow,3.57,3.68,1.0297,0.914,5.2,Tuesday
J00157,2025-02-25,T005,engine borescope,scheduled,yellow,4.75,2.88,0.6064,0.823,2.7,Tuesday
J00158,2025-02-25,T017,landing gear service,scheduled,grey,5.36,4.39,0.8179,0.891,5.0,Tuesday
J00159,2025-02-25,T005,landing gear service,scheduled,green,4.77,6.8,1.4242,0.927,9.6,Tuesday
J00160,2025-02-25,T022,wheel and brake change,scheduled,grey,2.14,2.11,0.9833,0.929,5.2,Tuesday
J00161,2025-02-25,T010,avionics fault isolation,non-routine,green,2.94,3.06,1.0422,0.732,0.0,Tuesday
J00162,2025-02-25,T007,engine borescope,scheduled,green,4.37,4.48,1.0251,0.901,7.0,Tuesday
J00163,2025-02-25,T025,wheel and brake change,scheduled,pink,1.99,2.28,1.1417,1.09,8.5,Tuesday
J00164,2025-02-25,T020,avionics fault isolation,non-routine,green,3.17,3.43,1.0812,0.974,6.0,Tuesday
J00165,2025-02-25,T004,avionics fault isolation,non-routine,green,2.8,3.65,1.3066,0.805,9.5,Tuesday
J00166,2025-02-26,T006,avionics fault isolation,non-routine,pink,3.05,2.54,0.8304,0.781,8.3,Wednesday
J00167,2025-02-26,T016,landing gear service,scheduled,grey,4.95,4.24,0.8564,0.868,14.9,Wednesday
J00168,2025-02-26,T003,A-check inspection,scheduled,pink,5.37,5.05,0.941,0.793,4.7,Wednesday
J00169,2025-02-26,T014,A-check inspection,scheduled,green,6.39,7.17,1.1227,0.907,3.2,Wednesday
J00170,2025-02-26,T013,hydraulic system check,scheduled,grey,3.8,3.3,0.8678,0.622,0.0,Wednesday
J00171,2025-02-26,T016,structural inspection,non-routine,grey,7.17,8.11,1.1315,0.854,11.1,Wednesday
J00172,2025-02-27,T007,engine borescope,scheduled,grey,4.83,3.6,0.7454,0.606,0.0,Thursday
J00173,2025-02-27,T009,cabin interior repair,non-routine,grey,2.31,3.84,1.6625,0.782,1.7,Thursday
J00174,2025-02-27,T016,avionics fault isolation,non-routine,yellow,2.94,1.66,0.565,0.856,0.0,Thursday
J00175,2025-02-27,T006,avionics fault isolation,non-routine,green,2.99,2.52,0.8424,0.708,0.0,Thursday
J00176,2025-02-27,T005,structural inspection,non-routine,green,7.15,4.74,0.6635,0.742,7.3,Thursday
J00177,2025-02-28,T007,engine borescope,scheduled,yellow,4.58,6.13,1.3388,0.974,2.3,Friday
J00178,2025-03-03,T021,landing gear service,scheduled,yellow,4.69,3.47,0.7386,0.789,10.4,Monday
J00179,2025-03-03,T005,engine borescope,scheduled,pink,4.59,2.99,0.6502,0.888,2.7,Monday
J00180,2025-03-03,T013,avionics fault isolation,non-routine,green,2.87,3.41,1.1885,1.174,4.5,Monday
J00181,2025-03-04,T006,A-check inspection,scheduled,green,5.64,6.41,1.1362,1.059,2.8,Tuesday
J00182,2025-03-04,T014,cabin interior repair,non-routine,yellow,2.6,3.49,1.3439,0.792,5.6,Tuesday
J00183,2025-03-04,T023,wheel and brake change,scheduled,pink,2.06,1.84,0.8924,0.834,0.4,Tuesday
J00184,2025-03-04,T016,hydraulic system check,scheduled,green,3.1,2.28,0.7351,0.91,4.6,Tuesday
J00185,2025-03-05,T020,A-check inspection,scheduled,grey,5.7,6.92,1.2136,1.102,3.3,Wednesday
J00186,2025-03-05,T001,structural inspection,non-routine,yellow,6.86,5.05,0.736,0.683,2.1,Wednesday
J00187,2025-03-06,T018,avionics fault isolation,non-routine,pink,3.26,2.83,0.8679,0.842,11.0,Thursday
J00188,2025-03-06,T003,structural inspection,non-routine,pink,6.84,6.23,0.9104,0.894,5.4,Thursday
J00189,2025-03-06,T018,wheel and brake change,scheduled,pink,2.06,1.59,0.7725,1.084,13.2,Thursday
J00190,2025-03-06,T004,A-check inspection,scheduled,grey,5.81,9.02,1.5512,0.903,3.0,Thursday
J00191,2025-03-06,T018,hydraulic system check,scheduled,pink,3.71,3.75,1.0121,0.64,0.0,Thursday
J00192,2025-03-10,T022,cabin interior repair,non-routine,pink,2.45,2.59,1.0579,0.644,7.3,Monday
J00193,2025-03-10,T014,wheel and brake change,scheduled,grey,1.88,1.28,0.6812,0.784,6.3,Monday
J00194,2025-03-10,T018,landing gear service,scheduled,grey,5.19,3.6,0.6945,0.87,0.0,Monday
J00195,2025-03-10,T008,landing gear service,scheduled,grey,4.91,3.89,0.791,0.758,10.0,Monday
J00196,2025-03-10,T020,A-check inspection,scheduled,green,6.17,6.35,1.0292,1.12,2.0,Monday
J00197,2025-03-11,T006,hydraulic system check,scheduled,pink,3.67,2.96,0.8075,0.935,0.0,Tuesday
J00198,2025-03-11,T006,hydraulic system check,scheduled,pink,3.17,2.74,0.8652,0.771,10.4,Tuesday
J00199,2025-03-11,T009,structural inspection,non-routine,green,7.16,6.62,0.9237,0.979,16.6,Tuesday
J00200,2025-03-11,T023,avionics fault isolation,non-routine,green,3.06,2.74,0.8952,0.953,0.4,Tuesday
J00201,2025-03-12,T005,wheel and brake change,scheduled,green,2.06,2.48,1.2053,0.745,4.8,Wednesday
J00202,2025-03-12,T010,wheel and brake change,scheduled,pink,1.96,1.68,0.8536,0.839,3.9,Wednesday
J00203,2025-03-12,T001,landing gear service,scheduled,grey,4.57,4.99,1.0933,1.003,4.1,Wednesday
J00204,2025-03-13,T005,wheel and brake change,scheduled,grey,2.06,2.18,1.0616,0.921,7.5,Thursday
J00205,2025-03-13,T025,cabin interior repair,non-routine,grey,2.46,2.39,0.9698,0.88,0.0,Thursday
J00206,2025-03-13,T010,A-check inspection,scheduled,pink,5.67,4.29,0.7554,0.94,1.4,Thursday
J00207,2025-03-13,T024,hydraulic system check,scheduled,pink,3.58,3.78,1.0549,0.675,15.3,Thursday
J00208,2025-03-13,T014,landing gear service,scheduled,yellow,5.14,5.23,1.0161,0.731,8.9,Thursday
J00209,2025-03-13,T001,engine borescope,scheduled,grey,4.37,5.07,1.1615,0.983,7.3,Thursday
J00210,2025-03-13,T008,cabin interior repair,non-routine,yellow,2.56,1.75,0.6819,0.85,14.1,Thursday
J00211,2025-03-13,T019,wheel and brake change,scheduled,pink,1.91,2.63,1.3758,1.168,11.0,Thursday
J00212,2025-03-14,T023,engine borescope,scheduled,yellow,4.29,5.74,1.3374,0.999,7.6,Friday
J00213,2025-03-14,T001,engine borescope,scheduled,yellow,4.29,4.47,1.0415,0.796,0.0,Friday
J00214,2025-03-14,T020,A-check inspection,scheduled,yellow,5.87,7.03,1.1973,0.545,0.0,Friday
J00215,2025-03-14,T010,landing gear service,scheduled,grey,4.65,4.48,0.9622,1.073,5.3,Friday
J00216,2025-03-17,T025,structural inspection,non-routine,grey,6.96,6.45,0.9263,0.853,13.3,Monday
J00217,2025-03-17,T018,structural inspection,non-routine,grey,7.62,5.79,0.76,0.943,10.8,Monday
J00218,2025-03-17,T023,cabin interior repair,non-routine,green,2.56,2.13,0.8317,1.019,3.2,Monday
J00219,2025-03-17,T024,landing gear service,scheduled,yellow,4.56,4.25,0.9329,0.913,8.6,Monday
J00220,2025-03-18,T018,avionics fault isolation,non-routine,pink,3.07,2.77,0.9021,0.968,6.6,Tuesday
J00221,2025-03-18,T004,cabin interior repair,non-routine,grey,2.61,3.04,1.1644,0.735,7.6,Tuesday
J00222,2025-03-18,T004,engine borescope,scheduled,green,4.49,4.52,1.0048,0.825,0.0,Tuesday
J00223,2025-03-18,T010,landing gear service,scheduled,pink,4.71,3.64,0.7732,0.985,0.1,Tuesday
J00224,2025-03-18,T011,avionics fault isolation,non-routine,pink,3.2,3.97,1.2402,0.94,4.9,Tuesday
J00225,2025-03-19,T010,landing gear service,scheduled,yellow,4.5,3.31,0.7352,0.698,4.1,Wednesday
J00226,2025-03-19,T021,avionics fault isolation,non-routine,green,2.95,1.5,0.5091,0.668,0.0,Wednesday
J00227,2025-03-19,T003,wheel and brake change,scheduled,grey,1.96,2.06,1.054,1.029,12.0,Wednesday
J00228,2025-03-19,T015,hydraulic system check,scheduled,green,3.61,4.59,1.2735,0.967,4.5,Wednesday
J00229,2025-03-20,T007,wheel and brake change,scheduled,yellow,1.97,1.84,0.934,1.001,4.2,Thursday
J00230,2025-03-20,T011,structural inspection,non-routine,yellow,6.92,8.68,1.2546,0.686,0.0,Thursday
J00231,2025-03-20,T023,engine borescope,scheduled,pink,4.34,3.6,0.83,0.83,4.2,Thursday
J00232,2025-03-20,T001,A-check inspection,scheduled,yellow,5.78,5.41,0.9363,0.993,7.0,Thursday
J00233,2025-03-21,T022,wheel and brake change,scheduled,yellow,2.07,1.73,0.8369,0.71,3.1,Friday
J00234,2025-03-21,T005,hydraulic system check,scheduled,grey,3.5,2.62,0.7496,0.726,0.0,Friday
J00235,2025-03-21,T025,hydraulic system check,scheduled,green,3.56,3.82,1.0721,1.043,2.2,Friday
J00236,2025-03-21,T008,structural inspection,non-routine,pink,6.96,8.0,1.1493,0.705,0.0,Friday
J00237,2025-03-21,T007,engine borescope,scheduled,yellow,4.19,3.38,0.8062,0.731,2.1,Friday
J00238,2025-03-24,T009,landing gear service,scheduled,green,4.64,5.18,1.116,0.863,9.8,Monday
J00239,2025-03-24,T005,structural inspection,non-routine,pink,6.87,5.22,0.7605,0.935,4.7,Monday
J00240,2025-03-24,T003,avionics fault isolation,non-routine,pink,2.9,2.15,0.7402,0.964,20.6,Monday
J00241,2025-03-24,T018,landing gear service,scheduled,green,5.14,5.66,1.1003,0.906,6.8,Monday
J00242,2025-03-24,T002,landing gear service,scheduled,grey,5.28,4.91,0.93,0.619,14.0,Monday
J00243,2025-03-24,T004,structural inspection,non-routine,yellow,6.71,7.99,1.1914,0.918,2.9,Monday
J00244,2025-03-24,T016,engine borescope,scheduled,grey,4.1,3.54,0.8625,1.017,6.0,Monday
J00245,2025-03-25,T019,hydraulic system check,scheduled,yellow,3.7,3.68,0.994,0.879,0.0,Tuesday
J00246,2025-03-25,T010,structural inspection,non-routine,pink,7.19,4.46,0.6204,0.854,4.8,Tuesday
J00247,2025-03-25,T017,structural inspection,non-routine,green,7.26,5.68,0.7821,0.915,14.9,Tuesday
J00248,2025-03-25,T016,avionics fault isolation,non-routine,yellow,3.27,2.92,0.8919,1.043,0.0,Tuesday
J00249,2025-03-25,T008,wheel and brake change,scheduled,pink,1.93,1.82,0.9453,0.889,0.0,Tuesday
J00250,2025-03-26,T014,landing gear service,scheduled,pink,4.74,4.44,0.9362,0.835,12.1,Wednesday
J00251,2025-03-26,T012,avionics fault isolation,non-routine,grey,3.04,2.88,0.9469,0.883,10.4,Wednesday
